Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0157;1;1;1;1;1;
connectedComponent0158;1;1;1;1;0;
connectedComponent0159;1;1;1;0;1;
connectedComponent0160;1;0;1;1;0;
connectedComponent0161;1;1;0;0;1;
connectedComponent0162;1;0;0;0;1;
connectedComponent0163;0;0;1;1;0;
connectedComponent0164;1;1;1;1;1;
connectedComponent0165;1;0;1;0;0;
connectedComponent0166;1;0;1;1;0;
connectedComponent0167;0;0;1;1;0;
connectedComponent0168;1;1;1;1;1;
connectedComponent0169;1;1;0;0;1;
connectedComponent0170;1;1;1;1;1;
connectedComponent0171;1;1;1;1;0;
connectedComponent0172;0;0;1;1;0;
connectedComponent0173;1;0;1;1;0;
connectedComponent0174;1;1;1;1;1;
connectedComponent0175;0;0;1;1;0;
connectedComponent0176;0;0;1;1;0;
connectedComponent0177;0;0;1;1;0;
connectedComponent0178;0;0;1;1;0;
connectedComponent0179;1;1;1;1;1;
connectedComponent0180;1;1;1;1;1;
connectedComponent0181;1;1;1;1;0;
connectedComponent0182;1;1;1;1;0;
connectedComponent0183;1;0;0;1;0;
connectedComponent0184;1;0;1;1;0;
connectedComponent0185;1;0;1;1;0;
connectedComponent0186;0;0;1;1;0;
connectedComponent0187;0;0;1;1;0;
connectedComponent0188;1;1;1;1;1;
connectedComponent0189;1;1;1;1;1;
connectedComponent0190;1;1;0;0;1;
connectedComponent0191;1;1;1;1;0;
connectedComponent0192;0;0;1;1;0;
connectedComponent0193;1;1;1;1;1;
connectedComponent0194;1;1;1;1;0;
connectedComponent0195;1;1;1;1;1;
connectedComponent0196;1;1;1;1;0;
connectedComponent0197;0;0;1;1;0;
connectedComponent0198;1;1;1;1;1;
connectedComponent0199;1;1;0;0;0;
connectedComponent0200;0;0;1;1;0;
connectedComponent0201;1;1;1;1;1;
connectedComponent0202;0;0;1;1;0;
connectedComponent0203;1;0;1;1;1;
connectedComponent0204;1;1;1;1;1;
connectedComponent0205;1;0;1;1;0;
connectedComponent0206;1;1;1;1;1;
connectedComponent0207;0;0;1;1;0;
connectedComponent0208;1;0;1;1;0;
connectedComponent0209;1;0;1;1;0;
connectedComponent0210;0;0;1;1;0;
connectedComponent0211;1;1;1;1;1;
connectedComponent0212;1;1;1;1;1;
connectedComponent0213;1;1;1;1;1;
connectedComponent0214;1;1;1;1;1;
connectedComponent0215;1;0;1;1;0;
connectedComponent0216;1;1;1;1;0;
connectedComponent0217;1;1;1;1;0;
connectedComponent0218;1;1;1;0;0;
connectedComponent0219;1;1;1;1;1;
connectedComponent0220;1;1;1;1;1;
connectedComponent0221;0;0;1;1;0;
connectedComponent0222;0;1;1;1;1;
connectedComponent0223;1;0;1;1;0;
connectedComponent0224;0;0;1;1;0;
connectedComponent0225;1;1;1;1;1;
connectedComponent0226;1;1;1;1;1;
connectedComponent0227;0;1;1;1;0;
connectedComponent0228;0;0;1;1;0;
connectedComponent0229;0;0;1;1;0;
connectedComponent0230;1;1;1;1;1;
connectedComponent0231;0;1;1;0;0;
connectedComponent0232;0;0;1;1;0;
connectedComponent0233;1;1;1;1;1;
connectedComponent0234;0;0;1;1;0;
connectedComponent0235;0;1;1;1;0;
connectedComponent0236;1;0;1;1;0;
connectedComponent0237;0;0;1;1;0;
connectedComponent0238;1;0;1;1;1;
connectedComponent0239;0;0;1;1;0;
connectedComponent0240;1;1;0;0;1;
connectedComponent0241;1;0;1;1;0;
connectedComponent0242;1;0;1;1;0;
connectedComponent0243;0;0;1;1;0;
connectedComponent0244;1;0;0;0;1;
connectedComponent0245;1;1;1;1;1;
connectedComponent0246;0;0;1;1;0;
connectedComponent0247;1;0;1;1;1;
connectedComponent0248;0;1;1;1;0;
connectedComponent0249;0;0;1;1;0;
connectedComponent0250;1;1;1;1;1;
connectedComponent0251;1;0;0;0;1;
connectedComponent0252;1;0;1;1;0;
connectedComponent0253;1;1;0;0;0;
connectedComponent0254;1;0;1;1;0;
connectedComponent0255;1;1;1;1;1;
connectedComponent0256;1;0;1;1;0;
connectedComponent0257;1;0;1;1;0;
connectedComponent0258;0;0;1;1;0;
connectedComponent0259;0;0;1;1;0;
connectedComponent0260;0;0;1;1;0;
connectedComponent0261;1;1;1;1;1;
connectedComponent0262;1;1;1;1;0;
connectedComponent0263;0;1;1;1;0;
connectedComponent0264;0;0;1;1;0;
connectedComponent0265;0;0;1;1;0;
connectedComponent0266;1;1;0;0;0;
connectedComponent0267;1;1;1;1;0;
connectedComponent0268;1;0;1;1;0;
connectedComponent0269;1;1;0;0;1;
connectedComponent0270;1;1;1;1;1;
connectedComponent0271;0;0;1;1;0;
connectedComponent0272;0;0;1;1;0;
connectedComponent0273;1;1;1;0;1;
connectedComponent0274;1;1;1;1;1;
connectedComponent0275;1;1;1;1;1;
connectedComponent0276;1;1;1;1;1;
connectedComponent0277;1;1;0;1;0;
connectedComponent0278;0;0;1;1;0;
connectedComponent0279;1;0;1;1;0;
connectedComponent0280;0;0;1;1;0;
connectedComponent0281;0;0;1;1;0;
connectedComponent0282;0;0;1;1;0;
connectedComponent0283;0;0;1;1;0;
connectedComponent0284;1;0;1;1;1;
connectedComponent0285;0;0;1;1;0;
connectedComponent0286;1;1;1;1;1;
connectedComponent0287;0;0;1;1;0;
connectedComponent0288;1;0;1;1;0;
connectedComponent0289;1;1;1;1;1;
connectedComponent0290;1;1;1;1;0;
connectedComponent0291;0;0;1;1;0;
connectedComponent0292;1;1;1;1;1;
connectedComponent0293;1;1;1;1;1;
connectedComponent0294;1;0;1;1;0;
connectedComponent0295;0;0;1;1;0;
connectedComponent0296;0;0;1;1;0;
connectedComponent0297;0;0;1;1;0;
connectedComponent0298;1;0;1;1;1;
connectedComponent0299;1;1;1;1;1;
connectedComponent0300;1;1;1;1;1;
connectedComponent0301;1;0;1;1;0;
connectedComponent0302;1;1;1;1;1;
connectedComponent0303;1;0;1;1;0;
connectedComponent0304;1;0;1;1;0;
connectedComponent0305;1;1;1;1;1;
connectedComponent0306;1;0;1;1;0;
connectedComponent0307;1;1;0;0;1;
connectedComponent0308;0;0;1;1;0;
connectedComponent0309;1;1;0;0;0;
connectedComponent0310;1;1;1;1;1;
connectedComponent0311;1;0;1;1;0;
connectedComponent0312;1;1;1;1;1;
connectedComponent0313;1;1;1;1;1;
connectedComponent0314;0;1;0;1;0;
connectedComponent0315;1;1;0;0;1;
connectedComponent0316;0;0;1;1;0;
connectedComponent0317;0;1;0;1;0;
connectedComponent0318;0;0;1;1;0;
connectedComponent0319;0;0;1;1;0;
connectedComponent0320;1;1;0;0;1;
connectedComponent0321;0;1;1;1;0;
connectedComponent0322;1;0;1;1;0;
connectedComponent0323;0;0;1;1;0;
connectedComponent0324;0;0;1;1;0;
connectedComponent0325;1;0;1;1;0;
connectedComponent0326;1;1;1;1;1;
connectedComponent0327;1;1;1;1;1;
connectedComponent0328;0;0;1;1;0;
connectedComponent0329;1;0;1;1;0;
connectedComponent0330;0;0;1;1;0;
connectedComponent0331;1;0;1;1;0;
connectedComponent0332;0;0;1;1;0;
connectedComponent0333;0;1;1;1;0;
connectedComponent0334;1;1;1;1;1;
connectedComponent0335;0;0;1;1;0;
connectedComponent0336;0;0;1;1;0;
connectedComponent0337;1;0;1;1;0;
connectedComponent0338;1;1;1;1;1;
connectedComponent0339;0;1;1;0;0;
connectedComponent0340;1;1;1;1;1;
connectedComponent0341;1;1;1;1;1;
connectedComponent0342;1;1;1;1;1;
connectedComponent0343;1;0;1;1;0;
connectedComponent0344;1;1;0;1;0;
connectedComponent0345;1;0;1;1;0;
connectedComponent0346;1;1;1;1;1;
connectedComponent0347;0;0;1;1;0;
