Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0157;1;0;1;1;0;
connectedComponent0158;0;0;1;1;0;
connectedComponent0159;0;0;1;1;0;
connectedComponent0160;1;1;1;1;1;
connectedComponent0161;0;0;1;1;0;
connectedComponent0162;1;1;1;1;1;
connectedComponent0163;1;0;1;0;1;
connectedComponent0164;0;0;1;1;0;
connectedComponent0165;0;0;1;1;0;
connectedComponent0166;1;0;1;0;0;
connectedComponent0167;1;1;0;1;0;
connectedComponent0168;0;0;1;1;0;
connectedComponent0169;1;1;1;1;1;
connectedComponent0170;0;0;1;1;0;
connectedComponent0171;1;0;1;1;0;
connectedComponent0172;1;0;1;1;0;
connectedComponent0173;1;1;1;1;1;
connectedComponent0174;1;1;1;1;1;
connectedComponent0175;0;0;1;1;0;
connectedComponent0176;0;1;1;1;0;
connectedComponent0177;0;1;1;1;1;
connectedComponent0178;1;1;1;1;0;
connectedComponent0179;1;1;1;1;1;
connectedComponent0180;1;1;1;1;0;
connectedComponent0181;1;1;1;0;1;
connectedComponent0182;1;0;1;1;0;
connectedComponent0183;1;1;0;0;1;
connectedComponent0184;1;0;0;0;1;
connectedComponent0185;0;1;1;1;1;
connectedComponent0186;1;1;1;1;1;
connectedComponent0187;1;0;1;0;0;
connectedComponent0188;1;0;1;1;0;
connectedComponent0189;1;1;1;1;1;
connectedComponent0190;1;1;1;1;1;
connectedComponent0191;1;1;0;0;1;
connectedComponent0192;1;1;1;1;1;
connectedComponent0193;1;1;1;1;0;
connectedComponent0194;0;0;1;1;0;
connectedComponent0195;1;0;1;1;0;
connectedComponent0196;1;1;0;0;0;
connectedComponent0197;0;1;1;0;0;
connectedComponent0198;1;1;1;1;1;
connectedComponent0199;0;0;1;1;0;
connectedComponent0200;0;0;1;1;0;
connectedComponent0201;0;0;1;1;0;
connectedComponent0202;0;0;1;1;0;
connectedComponent0203;1;1;1;1;1;
connectedComponent0204;1;1;1;1;1;
connectedComponent0205;1;1;1;1;1;
connectedComponent0206;1;1;1;1;0;
connectedComponent0207;1;0;0;1;0;
connectedComponent0208;1;0;1;1;0;
connectedComponent0209;1;0;1;1;0;
connectedComponent0210;0;0;1;1;0;
connectedComponent0211;0;0;1;1;0;
connectedComponent0212;1;1;1;1;1;
connectedComponent0213;1;1;1;1;1;
connectedComponent0214;1;1;1;1;1;
connectedComponent0215;1;1;0;0;1;
connectedComponent0216;0;0;1;1;0;
connectedComponent0217;1;1;0;0;1;
connectedComponent0218;1;1;1;1;0;
connectedComponent0219;0;0;1;1;0;
connectedComponent0220;1;1;1;1;1;
connectedComponent0221;0;1;1;1;0;
connectedComponent0222;1;1;1;1;1;
connectedComponent0223;1;1;1;1;1;
connectedComponent0224;1;1;1;1;0;
connectedComponent0225;0;0;1;1;0;
connectedComponent0226;1;1;1;1;1;
connectedComponent0227;1;1;0;0;0;
connectedComponent0228;0;0;1;1;0;
connectedComponent0229;1;1;1;1;1;
connectedComponent0230;0;0;1;1;0;
connectedComponent0231;1;0;1;1;1;
connectedComponent0232;1;1;1;1;1;
connectedComponent0233;1;1;1;1;0;
connectedComponent0234;0;1;0;1;0;
connectedComponent0235;1;1;1;1;1;
connectedComponent0236;0;0;1;1;0;
connectedComponent0237;1;0;1;1;0;
connectedComponent0238;1;0;1;1;0;
connectedComponent0239;1;1;1;1;1;
connectedComponent0240;0;0;1;1;0;
connectedComponent0241;1;1;1;1;1;
